business_id,name,city,stars,delivery,NoiseLevel,PriceRange,TakeOut,GoodForKids,OutdoorSeating,HasTV
PlP0c_u3g-3LiWHpb2XnOQ,Lee Cafe,Fort Mill,4.0,False,u'average',2,True,True,True,True
r3jpH6ZuCQY3o1yBuJ67PQ,Master Mix HotPot,Toronto,3.0,False,'average',2,False,True,False,False
AtD6B83S4Mbmq0t7iDnUVA,Veggie House,Las Vegas,4.5,True,'average',2,True,True,False,True
KpK9IDybfThL_sR0zF5t4Q,Super Taste Chinese Cuisine,Scarborough,3.5,False,u'quiet',1,True,True,False,True
AsgwKCJqyBqdiHdEBqeq3w,Singapore Sam's,Calgary,3.5,True,'loud',2,True,False,False,True
eCJDiRPoSuA0bsb7F1gNUA,Asian Cafe,Phoenix,4.0,True,u'average',1,True,True,False,True
JQWIZ8MT-VGZzO5W5XCB5Q,88 China Bistro,Charlotte,3.5,True,'quiet',2,True,True,False,True
owV0aSgh4t_9aG56iPxGEw,Panda Express,Parma,2.5,False,'average',1,True,True,True,True
GXbag8-ubKs5qb1dMNyMTQ,The Sugar,North York,3.0,False,u'average',2,True,False,False,False
tZEW8ESjrVmNGXvPnrR97w,Hot Feel,Las Vegas,3.5,True,u'average',2,True,True,False,True
wNgzPOtnHE1prmh3bzWR1g,Golden Coast II,Charlotte,3.0,True,'average',1,True,True,False,True
bsjBLLHR4TMVR5eAeLAI9w,China Town Kim Fung,Montréal,3.5,False,u'average',2,True,True,False,True
IBNWrN1k9E0E_bMcRD-GwA,Chef Ching's Kitchen,Las Vegas,4.5,False,'average',1,True,True,False,True
_PKXarw3GjlbwbXhjdpUMA,Tangra Villa Hakka Chinese Cuisine,Markham,3.5,True,u'average',1,True,True,False,True
4KHo1LnkM69RtWTDBdG16g,31 Kitchen,Toronto,3.0,True,u'average',2,True,True,False,False
-wDNRL4lm1UgeFLG9KcrjQ,Yummy Grill & Sushi,Las Vegas,3.5,True,u'average',2,True,True,True,True
yJ5rA9U6nmSEUV8_j_jYHw,Diamond Banquet Hall,Markham,3.0,False,u'average',2,True,True,False,True
Dwau0pTROj2QsR_hz7JVoQ,New China,Belmont,3.5,False,u'average',1,True,True,False,True
qGtagj4xXNrF9rIEkiihTw,Orchid Thai,Aurora,4.5,False,u'average',2,True,True,False,False
iDHWqYdaTd5cHjppBdg5Rw,Classic Chinese Cuisine,Bridgeville,3.5,False,u'quiet',1,True,True,False,True
KVGdRDCXOPbcDH_3HC1jfA,Grand Chinese Cuisine,Etobicoke,3.5,False,u'average',2,True,True,False,False
l1DtLtgI2hlGNMBSkk5sXg,Shanghai Palace Restaurant,Calgary,3.0,True,u'average',2,True,True,False,False
lEtpTFWetCf6xnzeImLiHg,Mr Chao's Asia Bistro,Phoenix,4.0,False,u'quiet',2,True,True,False,True
s6L6SdVYhPcOQEDmNIg1-g,Happy Wok,Las Vegas,3.0,True,'quiet',1,True,True,False,True
EMh5InDTEfGGCowRy_pJZA,Shangri-La Hot Pot Restaurant,Richmond Hill,2.5,False,u'average',2,False,True,False,True
khxjYMwb_V8UovvwPVhysw,Hong Kong Asian Cuisine,Phoenix,2.5,False,u'quiet',2,True,True,False,True
FEWTPBUv-QiugBe-2uXD4A,Chopstix,Henderson,3.5,True,'quiet',1,True,True,False,True
4Yi3mOofceLVKxiGDPBqMw,Grotto Noodle House,Markham,3.5,False,u'quiet',1,True,True,False,True
Z2xuK4BbrD0Qr9dAs7oTVw,China Cafe,Matthews,4.0,False,'average',1,True,True,False,False
FykLjv4tIq618q8F2pvTKg,Krazy Buffet,Las Vegas,3.0,False,u'average',2,True,True,False,False
szhJLmdLDVFTevm8fu0T4A,Great Wall Cuisine,Phoenix,3.5,False,u'average',2,True,True,False,True
TA1Q7RWVzMigi5X3FAmctw,Asian Garden Hakka Restaurant,Richmond Hill,3.5,False,u'average',2,True,True,False,True
vYbpodi9utup_njMK5PAfw,Nudo,Montréal,4.0,False,u'average',1,True,True,False,True
0M3KCmdY-_xlIu5vEqVq4A,Wonton Chai Noodle,Markham,4.0,False,u'average',1,True,True,False,True
d51qbs6CitHbFD--G-AEVw,Shanghai 1938,Champaign,3.0,True,u'quiet',2,True,True,False,False
QdvROupQvDDQIaHrTGNgKA,Szechwan Palace,Phoenix,3.5,False,u'average',2,True,True,False,True
P7r8DnVRIVfEhwl14x7zbg,Chinese Dumpling House,Mississauga,3.0,False,u'average',2,True,True,False,True
x-H-2BYL2XoDDLiub950Ag,Xiang Wei Xuan-湘味轩,Las Vegas,4.5,False,u'average',2,True,True,False,False
zPBccKsIHYtLUGFNYIi8Uw,Kirin Buffet,Las Vegas,3.0,False,u'average',1,True,True,False,True
Z5OoLZ_gKDHZGKs6gtR28w,Panda Express,Las Vegas,3.0,False,u'average',1,True,True,True,True
ePCa7c2zvroyiwECOek5wA,Hong Kong Asian Cuisine,Scottsdale,3.5,True,u'quiet',2,True,True,False,True
G-0VVUUoNUKT3GrnjZnsaA,Silver Dragon Restaurant,Calgary,3.5,True,u'loud',2,True,True,False,True
SCoH7sKTSwIhREUPBu7BkA,Forbidden City Dim Sum & Seafood Restaurant,Calgary,3.5,False,u'loud',2,True,True,False,True
N9o1UKmI0Ng1qYkTBTxHmA,Noodles & Company,Charlotte,3.0,True,u'quiet',1,True,True,True,False
RdK6dhy4lOb2taNp-WrHjQ,El Mesquite Cocina Mexicana,Phoenix,4.0,False,'average',1,True,True,False,True
j1QfFrTE22PAak7rzD8OoQ,Sweet Culture,Markham,3.5,False,u'quiet',1,True,True,False,True
