neighborhood,arts,leisure,sustenance,transportation,score,total_amenity,avg_price,lat,lon
Arbutus Ridge,1.0,0.0,19.0,0.0,0.7165649447903226,20.0,113.54838709677419,49.253659,-123.160392
Central Vancouver,23.0,38.0,893.0,166.0,0.7837232622000007,1120.0,183.14801762114539,49.283439,-123.124528
Dunbar-Southlands,5.0,1.0,20.0,0.0,0.7762235169353656,26.0,161.32926829268294,49.250538,-123.18491
East Vancouver,6.0,6.0,149.0,58.0,0.7985553815567644,219.0,135.55968169761275,49.274353,-123.04788
Fairview,7.0,4.0,136.0,33.0,0.8026101654862069,180.0,149.91954022988506,49.263745,-123.128809
Grandview-Woodland,8.0,3.0,132.0,22.0,0.8091575532473407,165.0,141.11702127659575,49.275107,-123.066884
Kensington-Cedar Cottage,1.0,0.0,18.0,6.0,0.7736496665076925,25.0,103.71153846153847,49.24632,-123.075129
Kitsilano,6.0,2.0,182.0,21.0,0.8218628856931147,211.0,172.57049180327868,49.266337,-123.16249
Knight,9.0,1.0,95.0,2.0,0.7870009768976526,107.0,128.10798122065728,49.246247,-123.076035
Marpole,1.0,3.0,50.0,5.0,0.6856651026375001,59.0,104.45833333333333,49.21164,-123.129112
Oakridge,1.0,1.0,12.0,0.0,0.6609749025629033,14.0,117.88709677419355,49.227686,-123.122372
Renfrew-Collingwood,3.0,1.0,63.0,0.0,0.7305688611606062,67.0,101.21212121212122,49.249223,-123.038929
Riley Park–Little Mountain,9.0,1.0,89.0,1.0,0.792197010329703,100.0,125.88613861386139,49.245469,-123.102697
South Cambie,4.0,0.0,23.0,1.0,0.737772770459722,28.0,133.15277777777777,49.245203,-123.12262
South Vancouver,0.0,1.0,28.0,2.0,0.7211291002953125,31.0,103.578125,49.210211,-123.116306
Strathcona,1.0,0.0,24.0,13.0,0.8265336064666666,38.0,155.61666666666667,49.273196,-123.088624
Sunset,1.0,1.0,48.0,0.0,0.7274955841015149,50.0,142.43939393939394,49.218693,-123.090775
West Point Grey,3.0,0.0,36.0,0.0,0.7842855686440677,39.0,156.35593220338984,49.264835,-123.201
