id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10080,D1 -  Million Dollar View 2 BR,30899,Rami,,Downtown,49.28772,-123.1211,Entire home/apt,151,90,16,2017-02-26,0.15,49,347
13188,Garden level studio in ideal loc.,51466,Family Guns,,Riley Park,49.24577,-123.10516,Entire home/apt,120,2,242,2020-04-30,1.94,1,211
13357,! Wow! 2bed 2bath 1bed den Harbour View Apartment!,52118,Liliana,,Downtown Eastside,49.27955,-123.10546,Entire home/apt,161,30,58,2020-03-24,0.47,3,335
13358,Monthly (or Longer ) Designer One Bedroom Downtown,52116,Lynn,,West End,49.28209,-123.12515,Entire home/apt,70,30,427,2019-08-04,3.54,1,57
13490,Vancouver's best kept secret,52467,Iris,,Kensington-Cedar Cottage,49.2555,-123.06696,Entire home/apt,145,30,85,2020-04-18,0.78,1,326
14267,EcoLoft Vancouver,56030,Peter & Alison,,Kensington-Cedar Cottage,49.24974,-123.08108,Entire home/apt,140,3,33,2020-02-07,0.28,1,0
16254,Close to PNE/Hastings Park and East Village,63238,Jason,,Hastings-Sunrise,49.27734,-123.04152,Entire home/apt,194,3,5,2019-08-19,0.23,1,73
17158,Vancouver 4br 3ba house 20min to DT,48673,Elaine,,Renfrew-Collingwood,49.25195,-123.0355,Entire home/apt,135,4,5,2018-03-31,0.05,1,70
17765,"Central location, nice little apartment",68672,James,,Mount Pleasant,49.26181,-123.10905,Entire home/apt,94,3,194,2019-12-30,2.09,1,0
18270,private rm in clean central 2BR apt,70437,Ran,,Mount Pleasant,49.26564,-123.09524,Private room,55,30,118,2019-12-31,1.06,1,348
18589,Commercial Drive B&B,71508,Sylvain & Alexis,,Grandview-Woodland,49.27427,-123.07063,Private room,94,1,382,2020-03-15,3.51,1,226
18773,"Comfort Suite on Kits Beach + Netflix, and Youtube",72055,Dean,,Kitsilano,49.27212,-123.16401,Entire home/apt,169,2,14,2019-09-22,0.11,1,1
18795,*Best choice in downtown-5 Stars *,70137,Kai,,West End,49.28251,-123.12827,Private room,56,30,121,2020-03-16,1.10,3,365
19527,Spacious Apartment near Granville Island and VGH,74129,Bevin,,Fairview,49.26018,-123.13477,Entire home/apt,92,8,35,2019-11-02,0.28,1,353
20085,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,,Kensington-Cedar Cottage,49.25636,-123.08636,Entire home/apt,75,30,72,2020-01-01,0.58,1,363
21912,PRIVATE ROOM + BATH + KING BED + SEPARATE ENTRY,83871,Adam,,Renfrew-Collingwood,49.23365,-123.05439,Private room,51,2,324,2020-03-22,3.01,3,343
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Adam,,Renfrew-Collingwood,49.23427,-123.05309,Entire home/apt,65,30,211,2020-03-25,2.04,3,348
22128,"Big+Sunny 1-BR-SUITE**15 min to UBC, 10 Kits Beach",84820,Chris,,Marpole,49.21208,-123.13201,Private room,149,30,24,2011-08-18,0.20,2,0
24273,Walker's paradise in Kitsilano,1267409,Cormac,,Kitsilano,49.2626,-123.17308,Entire home/apt,300,2,14,2020-03-14,0.17,2,315
26047,The Alpha Downtown Accommodation by COMFYSUITES,109845,Alicia,,Downtown,49.27933,-123.12377,Entire home/apt,159,30,33,2019-12-28,0.31,4,304
32746,Designer Urban Park View Townhouse,52118,Liliana,,Downtown,49.2792,-123.105,Private room,113,30,80,2019-01-06,0.67,3,365
33150,“Suite on Main”  near  Q.E Park,143724,Ili,,Riley Park,49.24686,-123.10469,Entire home/apt,100,4,47,2020-04-04,0.43,1,255
35102,Downtown Yaletown Trendy 2 Bd/2Bth,68738,Gail,,Downtown,49.27762,-123.11878,Entire home/apt,105,30,76,2018-08-26,0.64,1,92
35304,"LOCATION, LOCATION, LOCATION- Cozy&Clean Lg. Space",151996,Howie And Lisa,,Grandview-Woodland,49.27351,-123.06945,Entire home/apt,99,2,410,2020-03-16,3.45,1,345
42645,The Charlie by COMFYSUITES,109845,Alicia,,Downtown,49.28001,-123.12475,Entire home/apt,159,30,28,2018-09-06,0.24,4,276
48146,Executive Furnished Apartment (2 months minimum),219431,Damien,,Renfrew-Collingwood,49.23457,-123.02644,Entire home/apt,85,30,0,,,1,317
49736,Boutique Studio Apartment in Kits!,227101,Sarah,,Kitsilano,49.2674,-123.14634,Entire home/apt,1950,31,9,2016-08-22,0.08,1,363
54261,Yaletown 1 Bedroom Condo,254337,Edgar,,Downtown,49.27655,-123.12485,Entire home/apt,127,90,37,2019-07-09,0.34,2,365
70453,"Open-concept, Modern Heritage Home with over 20 Skylights",56709,Samantha Jo,,Downtown Eastside,49.27836,-123.08716,Entire home/apt,191,3,22,2020-03-10,0.37,1,0
72659,Central Convenient Vibrant Neighbourhood!,375168,Donna,,Grandview-Woodland,49.27357,-123.07024,Entire home/apt,210,7,12,2018-05-23,0.13,1,162
73841,Amazing Downtown Vancouver Condo!,386761,Ying Ying,,Downtown,49.27659,-123.12481,Entire home/apt,129,30,13,2019-08-28,0.12,1,255
77157,Room with a Garden View!,412802,Anne,,Arbutus Ridge,49.24675,-123.16711,Private room,149,1,634,2020-03-14,5.68,2,341
98242,"Studio, private patio, WIFI/Cbl, pets & long term!",31065,Mj,,Sunset,49.22293,-123.07785,Entire home/apt,99,30,468,2020-03-31,4.28,2,198
98830,Your Downtown Executive Suite,520997,Cristina,,Downtown,49.27982,-123.12509,Entire home/apt,110,30,267,2020-02-01,2.43,1,0
111077,"Clean and Comfy, 2 Bd, Walk to the Drive",569682,Kristina,,Grandview-Woodland,49.26726,-123.05969,Entire home/apt,139,3,103,2019-10-27,0.94,1,356
118513,"White Orchid - Super comfy bed, Steps-2 Skytrain",597619,Rozsa,,Renfrew-Collingwood,49.24571,-123.04788,Private room,61,30,35,2019-10-15,0.33,2,89
125081,One step away from the Drive!,69746,Serge & Brigitte,,Grandview-Woodland,49.26866,-123.06512,Private room,60,2,184,2019-09-29,1.48,1,0
125176,Main Street Vineyard,622926,Mark,,Riley Park,49.24648,-123.09241,Private room,110,2,490,2020-03-13,4.58,1,0
129163,"Rock Rose - Clean, Cozy, Comfy, Steps2-Skytrain.",597619,Rozsa,,Renfrew-Collingwood,49.24507,-123.04941,Private room,44,30,53,2020-03-18,0.54,2,365
134688,"West view, Transit convenient, clean & comfortable",653436,Pirike,,Renfrew-Collingwood,49.24493,-123.04916,Private room,39,30,45,2020-04-11,0.42,5,270
140698,"1905 Heritage Loft, Main/Broadway, Olympic Village",69640,Stephen,,Mount Pleasant,49.26292,-123.10581,Entire home/apt,98,5,113,2020-03-22,1.05,1,304
170137,Family friendly Point Grey Home,381497,Catherine,,Dunbar Southlands,49.2571,-123.19101,Entire home/apt,175,1,152,2020-03-08,1.43,1,291
172827,Charming and Homely Downtown Penthouse,19982,Fernande,,West End,49.28161,-123.12696,Entire home/apt,300,3,7,2019-12-28,0.32,1,0
174135,VANCOUVER'S BEST PRIVATE SUITE/LOFT,831892,Hollie,,Downtown Eastside,49.27782,-123.08985,Entire home/apt,100,30,116,2018-04-04,1.10,1,134
182451,KITS SUPER CENTRAL DELIGHTFULL APT!,874660,Penny,,Kitsilano,49.25962,-123.16848,Entire home/apt,135,30,55,2020-04-01,0.52,3,71
196722,"Three bedrooms, fantastic location!",958297,Elana & Gary,,Grandview-Woodland,49.26364,-123.06967,Entire home/apt,208,5,13,2019-08-17,0.18,2,117
202211,Trout Lake Haven !,989790,Paul,,Kensington-Cedar Cottage,49.25381,-123.05951,Private room,80,1,168,2019-10-28,1.59,2,18
219261,A Real Gem in the Heart of Kits,1135259,Rami,,Kitsilano,49.2719,-123.15043,Entire home/apt,200,1,189,2020-03-01,4.20,2,270
226731,Vancouver central- 1bdrm private condo,560892,Vancouver Furnished,,Downtown,49.28406,-123.11598,Entire home/apt,176,30,12,2019-08-21,0.15,6,236
226757,"Amazing views, Cultural heart of Vancouver-Robson3",560892,Vancouver Furnished,,Downtown,49.28119,-123.11883,Entire home/apt,222,30,10,2020-01-16,0.10,6,346
248014,"Stunning views, comfort, location!!",1299977,Gabriella,,Grandview-Woodland,49.29103,-123.05782,Entire home/apt,100,31,1,2014-09-04,0.01,1,0
248973,East Vancouver Hidden Gem,1304461,Shelley,,Hastings-Sunrise,49.28145,-123.05544,Entire home/apt,139,2,87,2020-02-06,0.84,2,356
249106,East Vancouver Loft,1304461,Shelley,,Hastings-Sunrise,49.28126,-123.05311,Shared room,45,2,111,2020-03-02,1.07,2,273
254657,Heritage Loft in heart of Gastown,241920,Scott,,Downtown Eastside,49.28375,-123.10383,Entire home/apt,198,2,68,2019-09-30,0.79,1,0
256178,Luxury Coach House in Kitsilano,1267409,Cormac,,Kitsilano,49.26291,-123.17216,Entire home/apt,300,4,8,2019-08-09,0.09,2,250
257163,"Lg. Room, Private Bath & Breakfast!",70797,Adrianna,,Kensington-Cedar Cottage,49.24003,-123.0639,Private room,68,3,40,2019-09-24,0.40,1,89
