,amenity,lat,lon,name,tags,timestamp,tim_index,_id,driveThruLaneType,franchiseGroupId,frontCounterClosed,hasBreakfast,hasCurbside,hasDineIn,hasDelivery,hasMobileOrdering,hasTakeOut,hasWifi,latitude,longitude,mobileOrderingStatus,addr,number,parkingType,phoneNumber,Unnamed: 34,tags_len
0,0,49.1935797,-123.1807883,Tim Hortons,"{u'cuisine': u'coffee_shop', u'level': u'0', u'brand': u'Tim Hortons', u'indoor': u'yes', u'brand:wikidata': u'Q175106', u'takeaway': u'yes', u'brand:wikipedia': u'en:Tim Hortons'}",2019-09-14 12:00:22,190,restaurant_67542,2,101193.0,0,0,0,0,1,0,1,0,49.19341,-123.18152099999999,0,"3880 GRANT McCONACHIE WAY RICHMOND, British Columbia V7B 0A5 - Canada",101625,1,6042313731,,7
1,0,49.2284004,-122.8483834,Tim Hortons,"{u'addr:housenumber': u'1450', u'cuisine': u'coffee_shop', u'opening_hours': u'24/7', u'brand': u'Tim Hortons', u'brand:wikidata': u'Q175106', u'takeaway': u'yes', u'brand:wikipedia': u'en:Tim Hortons', u'addr:street': u'United Boulevard'}",2019-11-20 19:48:37,83,restaurant_68278,0,101343.0,0,1,0,0,1,1,1,1,49.22867,-122.84850800000001,1,"1450 UNITED BLVD COQUITLAM, British Columbia V3K 6Y2 - Canada",102403,1,6045154252,,8
2,0,49.212449,-122.9197493,Tim Hortons,"{u'website': u'https://www.timhortons.com/', u'cuisine': u'coffee_shop', u'brand': u'Tim Hortons', u'source': u'gps/photo survey', u'brand:wikidata': u'Q175106', u'takeaway': u'yes', u'operator': u'Restaurant Brands International Inc.', u'brand:wikipedia': u'en:Tim Hortons'}",2019-07-02 08:10:30,101,restaurant_67920,2,100049.0,0,1,0,0,1,1,1,1,49.212472999999996,-122.91956200000001,1,"524 6TH STREET NEW WESTMINSTER, British Columbia V3L 3B4 - Canada",102257,3,6045191294,,8
3,0,49.0919518,-122.9576502,Tim Hortons,"{u'cuisine': u'coffee_shop', u'brand': u'Tim Hortons', u'brand:wikipedia': u'en:Tim Hortons', u'brand:wikidata': u'Q175106', u'takeaway': u'yes'}",2019-08-02 08:26:08,106,restaurant_68011,0,100843.0,0,1,0,0,1,1,1,1,49.092007,-122.95768899999999,1,"9591 LADNER TRUNK ROAD DELTA, British Columbia V4K 3N3 - Canada",102163,1,6045900766,,5
4,0,49.2731066,-123.1007271,Tim Hortons,"{u'addr:housenumber': u'195', u'cuisine': u'coffee_shop', u'addr:city': u'Vancouver', u'brand': u'Tim Hortons', u'brand:wikidata': u'Q175106', u'takeaway': u'yes', u'brand:wikipedia': u'en:Tim Hortons', u'addr:street': u'Terminal Avenue'}",2020-02-06 04:20:15,153,restaurant_75916,2,101388.0,0,0,0,0,1,1,1,0,49.272901,-123.101653,1,"195 TERMINAL AVENUE VANCOUVER, British Columbia V6A 4C4 - Canada",107343,0,604-806-5256,,8
5,0,49.2387806,-123.0316319,Tim Hortons,"{u'website': u'https://www.timhortons.com/', u'cuisine': u'coffee_shop', u'addr:city': u'Vancouver', u'opening_hours': u'24/7', u'wheelchair': u'yes', u'addr:housenumber': u'5055', u'phone': u'+1-604-433-3354', u'addr:street': u'Joyce Street', u'brand:wikidata': u'Q175106', u'takeaway': u'yes', u'smoking': u'no', u'internet_access': u'wlan', u'brand': u'Tim Hortons', u'brand:wikipedia': u'en:Tim Hortons'}",2019-07-07 10:58:25,127,restaurant_69987,2,101992.0,0,1,0,0,1,1,1,1,49.238989000000004,-123.03114599999999,1,"5055 JOYCE ST VANCOUVER, British Columbia V5R 4G7 - Canada",105568,3,6044333354,,14
6,0,49.285902899999996,-123.1249177,Tim Hortons,"{u'addr:housenumber': u'1150', u'cuisine': u'coffee_shop', u'brand': u'Tim Hortons', u'brand:wikidata': u'Q175106', u'takeaway': u'yes', u'brand:wikipedia': u'en:Tim Hortons', u'addr:street': u'Alberni Street'}",2019-08-28 14:25:01,176,restaurant_67717,2,101696.0,0,1,0,0,1,1,1,1,49.28645,-123.12468100000001,1,"1150 ALBERNI STREET VANCOUVER, British Columbia V6E 4R6 - Canada",101952,0,6046090348,,7
7,0,49.1767616,-122.689973,Tim Hortons,"{u'addr:housenumber': u'19218', u'opening_hours': u'24/7', u'internet_access': u'wlan', u'addr:street': u'96 Avenue'}",2017-02-16 16:54:01,44,restaurant_69189,0,101899.0,1,1,0,0,1,1,1,1,49.17699,-122.689955,1,"19218 96TH AVENUE Surrey, British Columbia V4N 4C4 - Canada",103676,2,6045139933,,4
8,1,49.2262222,-123.1287693,Tim Hortons,{u'name:en': u'Tim Hortons'},2016-10-24 13:57:21,171,restaurant_68450,2,101768.0,0,1,0,0,1,1,1,0,49.226378000000004,-123.128643,1,"6525 OAK ST VANCOUVER, British Columbia V6P 3Z3 - Canada",102744,1,6042611062,,1
9,0,49.257451,-122.7437942,Tim Hortons,"{u'cuisine': u'coffee_shop', u'name:en': u'Tim Hortons', u'brand': u'Tim Hortons', u'brand:wikidata': u'Q175106', u'takeaway': u'yes', u'brand:wikipedia': u'en:Tim Hortons'}",2019-09-11 01:06:48,50,restaurant_69145,1,102064.0,1,1,1,1,0,1,1,0,49.257426,-122.74401599999999,1,"1097 NICOLA AVENUE PORT COQUITLAM, British Columbia V3B 8B2 - Canada",103765,2,6044686200,,6
